No,Nama Penyakit,Pengertian Penyakit,Gejala Penyakit,Cara Pengobatan,Cara Pencegahan,Gambar Penyakit
1,Salesma Ayam / Infectious coryza / SNOT,Penyakit yang disebabkan oleh bakteri dan menyerang sistem pernafasan,"Keluar lendir kental, lengket, dan bau dari hidung, Pembengkakan pada daerah muka(sinus), Keluar nanah dari mata, Nafsu makan berkurang, Bersin-bersin, Nafas ngorok, Kelopak mata kemerahan","Menggunakan sulfadimethoxine dengan dicampurkan air minum ayam tersebut, Pemakaian antibiotik menggunakan tylosin, tetracycline, erythromycin, dan spectinomycin","Sanitasi tempat minum, Manajemen kandang harus baik dan nyaman, Lakukan sanitasi kandang dan peralatan, Vaksinasi secara teratur",https://4.bp.blogspot.com/-L2WYMcWBVVo/UI1YKdbQv_I/AAAAAAAAACw/pmMWrU6KIgg/s200/snot3.gif
2,Berak Kapur / Pullorum disease,Penyakit yang disebabkan oleh bakteri Salmonella pullorum,"Terdapat kotoran putih menempel di sekitar anus, Kaki bengkak, Kedinginan (menggigil)
, Mencret keputih-putihan, Nafsu makan berkurang, Bulu kusam dan berkerut, Badan kurus, Nafas sesak/megap-megap","Usaha terbaik menyuntikan antibiotik seperti, neo terramycin dan cocillin namun tidak efektif untuk menghilangkan penyakit namun mencegah kematian","Ayam yang terkena penyakit dimusnahkan atau dipisahkan dari kelompoknya
Melakukan desinfeksi pada kandang
Ayam yang dibeli dari distributor atau suplier harus memiliki sertifikasi yang baik",https://www.dictio.id/uploads/db3342/original/3X/f/f/ff077e6942cc38eaf398394735148d2013ab7ad3.jpeg
3,Flu Burung / Avian influenza,Penyakit yang disebabkan oleh Virus influenza type A subtipe H5 dan H7,"Mati secara mendadak, Kepala bengkak, Keluar cairan berbusa dari mata, Nampak membiru, Nafsu makan berkurang, Batuk, Bersin-bersin, Nafas ngorok, Nafas sesak/megap-megap, Diare","Usaha terbaik membuat kondisi ayam membaik dan merangsang nafsu makannya dengan pemberian vitamin dan mineral, serta memberikan antibiotik. Selain itu, pemanasan tambahan pada kandang menjadi salah satu pengobatan pada penyakit flu burung",Melakukan biosekuriti dengan melakukan desinfeksi serta sterilisasi peralatan ternak. Melakukan vaksinasi HPAI (H5H2) inaktif dan vaksin rekombinan cacar ayam atau fowlpox dengan memasukkan gen virus Avian influenza H5 ke dalam virus cacar,https://radarcirebon.disway.id/upload/f0cade967c4be9e950956c2d4da3a0a2.jpg
4,Berak Darah / Coccidiosis,Penyakit yang disebabkan oleh parasit protozoa genus Eimeria yang menyerang sistem pencernaan terutama usus,"Mencret bercampur darah
,Muka pucat
,Bulu kusam dan berkerut
,Badan kurus
,Nafsu makan berkurang
,Kedinginan (Menggigil)","Menggunakan obat yang bersifat coccidiostat atau coccidioidal
,Menggunakan obat seperti asam folat antagonis, amprolium, halofuginone, hydrobromide, ionophore, nicarbazine, nitrobenzamide, clopidol, robenidine dan sulfaquinoxalin
,Obat tersebut dicampurkan kedalam pakan atau air minum","Pemberian obat pada waktu-waktu tertentu
,Vaksinasi
,Pemakaian koksidiostat dalam ransum","data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAoHCBYWFRgWFhYYGRgZHSEeHBkaGhoaGh8cGBocGhoaIRwcIS4lHB4rIRoYJjgmKy8xNTU1GiQ7QDs0Py40NTEBDAwMEA8QHhISHjQrJCs0NDQ0NDQ0NDQ0NDQ0NDQ0NDQ0NDQ0NDQ0NDQ0NDQ0NDQ0NDQ0NDQ0NDQ0NDQ0NDQ0NP/AABEIAMIBBAMBIgACEQEDEQH/xAAbAAACAwEBAQAAAAAAAAAAAAADBAECBQAGB//EADQQAAEDAgQEBAYCAgIDAAAAAAEAAhEDIQQSMUEFUWFxIoGRoRMyscHR8BRCUuEGFWJy8f/EABkBAQEBAQEBAAAAAAAAAAAAAAECAAMEBf/EACIRAQEBAAMBAQEBAAIDAAAAAAABEQIhMUESUQNhcRMyQv/aAAwDAQACEQMRAD8A9BTYGC1ioqExNx2+6l+Fa46n1hTUw1okiNFFlUG9psWk9W80phczi5kPafMj1WkygbnblupFLfMQjGlwpi6MC8mOwWTWw4z3BJ1u4adouvRsoCL+LqhPwLNR+91vy367UwjHXdNoHhAiIjohVnybwOpuPRNZ48DrTpCTrUw0kamJ6pvjfRnVRAyiR2/Kk1iYtptP7ZLYc+G8lNsp5otoo204X4fiHvc7M0Bo5DumTQzOkOLTraBM7c4UtIY2/nyuUSGyT9Fcgt+s7HseS0AubGsTkPlupxNEhouZPK3pyCPi8U1gEwTsD+Eph65qTmt/pRYYnh0OJBY8QfmIhrux3TT6oBy+SSeHCMpPnpP2CNUYTAIEkXIvdZr2axL2BgcHabT00O8LDfiwXmQTJ1NwOg6I1TDOad5KLh+FvfEgib2/K2b8HU9otPCl9/36JbE8IM5spPMb91vYLhpYNT3m60W0wdYlXx4QXlXj8PhGMGcAgtuS4tA+lkfhvGqTn5C7xcnEdbg7rdxnB2uaWuAcx2o6ei8rj/8AjNKkWFlN8AyHtdGU9k/mzsTlL02+JYWJABiJB+uyxn4Q5eU7TF+a9VhnB9K94331WJiQeUcpEo/04/YeHL4xWkNGRzXE7kG30um8BWEX8QbMCBPor4RznOLXtAO3I9VVlF1MmWzOuxC43XXpVmJoHM5jHB9wbXk9Pus/FU85fJiG+G2+y9JhHU3MIgZotpmJ7pQgGrJp5YbGa0HumiXGHhMRVDIePl01A7wofipOkt5jnzMJ/iVRxIbFtoNyEp/FDBbR176zyU9K9Hw5ZlzuDgTueiXDnOc4SSD7z9lZlTMySY/r6lMU6HwnDM03jyTRLgFPh4j5G/vkuW3QwxLQYULdtsaGGqyCUQXugFmW4sNgiUwYvuu+uN6XqNnUx5qaYDQTJPJBq0idLzzVTQcLAi4sOSCBS4s5z8jWHLu4pv4hJMghsfN15QuDSWgaHp0S2JwhdAzu7j7rd4eqH8ZhcDfw87BWqVAWl5BM2CKcO1tnGd5Ku9maLjKOQUbTkIsfchsCeZRauOyuDRJJG31VMdRDYcNJ0Sz6riPAy50JOnTotpyNSpmAuRfYbqa2LAIiJ5JbI9gyu8RgWEAzrqiO4U8vzRE7GNd7ynjKm54y34R1WuXkHINJ00GnmnsJhQ0EgGTfotrDcNc0aQD1sp/65wM7fvVXOP8AReX8ZdDDvLtLbz10WnQ4e3V2qMzhhJsSn2cItf8AfdVx4yIvK0n/ABWHaSmaWGbF7T1Rjw8DRxCG6jBuU0TVH4cDXTumGYMahQ1w3Cbw1QAa2UqwB1DUSUs7BEWm3W60KLg5zv3ZBNQAxuiUYym4TITE9klXw0rbfmaZ1HJRWY17ZiE62PG4nDOzTrl0jfmhVaLnbkCLSvS4jh51CxMRQOaJMclHLj9jpx5f0j8BzRmJ9E43iTTAcBEQYuELC1XZizURF9uR7Kw4dBOZwLSNI81zvS/UfBY4y1thvus/FAOBZu067pplJ4dLCSJ02PqrYyoYvTAt81j9ESN4wmUC/wCST7Elq1rvBe50mIy8iLWTP8nLTzBni7JTGVBcEgCJ17WT4Z2Yo8UcxoZlJy2lcsb+W83DTG1tlCBleobQtIcRzm6thmlpGZ2YbWhGxdEva0R3vopZUaKYtla0azO6652jV6jhmECfNCrYppdkkAj/ACP0hK4Su17jkdJGx1jpKBjsE5xEEzvMRBTrY0X1GMgl09iVD2QQ6QAYN9ULB4bKQHEGJ8vQoz3iXggwyb+mi2t+f4hwDgcwtt1Q8NVIec2mw2XYbDvc45zLI8PO6OMOWwBe/wC7qbK24TfiHNfOTNNhGg7q2Hwr/iFzYAIjLrf1TGHa4ucBEbla+HZlA3Tx4/a3LlnUXwHDsviOuv7daWHczcj3QMQ8ltkLDsnVXeWeOchitUcXeHRNUn81Wmwj8ojm3RrYlr7qXViobTRmMsq1sLueEAOP+PunzSCCWnnZBKgCbj3VyxpRPhKpbCw0BrSx9jqrxuiPpZroD2QptxWIe880MGFYgBTTC05Cwuww4jZI45gmW7LXfT9Uq+mCrS8xjqJzgxY3Pl5qaDQ4O8RkyAP0r0rsJLeazMRw0SDpF/26nlw3uK48/lYuKacojNIMcvZLlzGyCCTrBN5WxiMK9mYsNyLTokG0y4Oc4CdOc9lyvCx0nKE8LxnMcr2DLpYqKOHzvLHFrRcmLuy9OWyC7AMsRLXcgLHrfRM4ai8vBIzWgm1xEQViwcbximyo5jA4hpiRpMCfeVy06/AaLnE5NepXKum17KrYf7SuIezLlAmUdocQZH+1l0nkmCDI6KraiRTD4XJLmsid5lM0aznEBwTbWPa06X2n7KKNEEX8J6KbVYh7PG3Kd/RMOw4EkOnMZPtb2Q6eSYkTGvVMuaJtuAnjl7FuEa73Zm8pFvVNV4ywbgj9CgsAdMg87q+Ewuckn5ZVYmh4TDjLHqU05+WwN1fDsBf4dB7oVVwDzuN1r4nTFB4OpTgoWkJdlEG7R5I1OsRIII+inLPV7vhyhWJsUZzZSeEeDKeaLKomubAXF6qGXUkbJZzahV2uK5jVbMsyr4KQqi9k68ID2Ipcx8BAr0wdFL1Rjuai3SE5vJWpAouYIhhTxpoLggmmmHlQxqvUq0J0Vn07ItNoRHNCuck2MnEU+iQ/ggEx3W1WAShMI1sYeNwjdVlPAEkbbr0mOYIheRxpLZbJ1kclPKZdi+NtmVzK7IubqUl/E7rlGRW179zwGzEws90FwcBHMHdNaWuVcMB/rp0XW9ojMxlMOgkkcgEzgHRYgkC0kXuj1msHzAk8gAUvQc0TmcbkRyAKmztXp44Zhg5RPZRiKIcO1+Wihz40IjnqsnHcbYw5C9km0FwBntKcwbadpszX2/CfzQ2GjZIYarIaBbnstegwEJl3qJs/pakx2jdUiWlr8rlr16mRzYHmluK1mu/rDh7/AJRarEse5twJC06VVrwsrB1zy9k9SA3gLSiiCllNtE2xwXU8u0InwmpwCsAVDMqWthTPRLLtKtCq0q6WBqNS7kzUQXs5KOSoVeFVx6Kz3RshOrC+65W4qRM9FdsmyEyoqvcRcI1sWfrCnNMJcyeaYpiI5KpdYdlNXadlVrkKrUAEro5q4huqGGiEJ1aeqBUrnoAovI46tTK8/wAVwjXBxJjKNVr1cdt7rPxQzseDo4It2K4zt5v4MW/37rlpZD1258guRsdO3pSbT+goYqnbTcpcVCBLlwxTQLDv+F1/TnYK97NzLjZZ/EszYhsjnGkKmJxQaC/L4jaOSB/2gyfM0EbHVTaZLWtTLQJLoJuZO8cis/HGi12ctYTaXkNty1CzH8UZmhrXPdrMyJ5I+Drh1qoa5+bNliYj5deV0fr4u8LJraoiWh4H7qtPB1dEg3GNDLwBoFTD18p5gp34j8tXiJJEjZBpUhUF9kVmKbE2hY54gGVQ1hN9eQWz6lqvw5Z+Udj+YRKGKa8QSEwyk06QQqCaLgmmVBCB/FH9ZC4McNp6hUDYcitIhJMfJ68kRoK2sNmvZEBSzXQUVjxzWjLuCG5qKChPAC1pxQsCTdhmzKbJQnMXO8dVtKOZB5BVyIldpmwQnujWyjwiMAUNdsEnUedh5ojasDVMosMvrBoISDq0mOY+qriH5jr+nRGpYUSD0AXTdiS7nZUpXBdaYC1cZSEQOS8B/wAyZiQWsw+cCxc8GAByUfm+qnb0gYwaOBO9wUviXGCN9l83HAcW0l9OqXONzDiDPmtbgnGcSHihiWEud8r4v5qbHSSRsMc+Nfdct1+DvoFynKelKr5MGZ0nZYuJxjWv1JnQDpAW/wARaSy2vPzXjuKMay4d4jrvbmr5S503+XGcr2ZxeKefnIg/1Cz8XiaQYAAZ9gs1+Z0uLrAbarMq1zz9dI7KJvtev/xzqN8cXpNbkoNL6h1d/Uc0TDcaYA1pnObugE5ToB+81hcMqtDocQBrIW/la0NLMrmk/Np4heE2wX/G2mDjXvE3yM8RjUu/xhF/7XEV4FAFgb8+YQ7t2Q8DxYh0FoAtN/cr07WsdckA6mD+NUxw58bxYB4ljAfhsph5HzmRAnQCStjhjv6vgVNXD8LRwDxEMFhvFkhx3Cl5zUxD2gQ+QAf/ABhVOnG22438M0RBseacbI3XiuD/APKXZ/hVqTmu/wAtj6ar3uGcx4EGfVXMqOUsWp1zzTVKtzQP4o1BUZMuoVSYjRauQmQYKq2oQquphyr8MgWPqjKTAqA6ojAEg6tGqu2q0j5ltZpWSznyUFtUDVyH/MaN0Wqw80hCrPukjjZNlZjy79staMHcUoWEm6M98clNSoAJJUWKhXEUzoErQpkk3Tf8kOsDJKC2llGqLP42gYlsaJzDVrCdUlWdvKDReQbrcfWvcPV6u6w+IuLi5sXjwpvHYxrGOedGiSsLDYp9TxlpBk5W/wDjsfRXWjqGFDS3O8NJNxz5XW78JjgCQLb7+qRxOFeWGbl0QCNDzTGBwr2AB7pPP9KiQ0wzDPIkPbG0tvChLvw7p0PquW3/AIbAePVclMh2+g0EyN/NfP8AFB0CB6/lfReMsbUhp01PsvL8e4YxgHiIzCBFx6zZbl3Xo/ws4zPteSPEIDgGgGfL3QHtDWzIzHVWqUIsRBnWZSzmwYi6mvbxlk7c15zSbjb8wjHHPDMgkDNmOkyQNFIolxBaBbqmcBXfRccjZcdbAj3WkT/pbOtO8JewA5wXPOgOkRz59F6jAYd75IAYHCJN7DovPYNrnvYchzl02O/novWcKw1UOJe2A4zlmY8wt9ebnZJh+g5rGEZomxO0o1NoDc8SO5jugVBmIAfBMywttGxnmmaJeBkEZdrBVkebaHieHCsxzHGztxqPOVi0cNicA7MKpq0xsW+IDzmdV67C4UMJM6/v3RnjsRy/2umfUzlfA+C/8hpV2BzTJ3Emx5aWW3SqAxy7r55xzgxpl1fDMaHx4m5oB0ub6qeB/wDIapaGvblcBdsz9lv3Z634l7j6JVYIslm1YN9FkYbiJcE5/NsJbryR+9b840SQUIsb/ilW12847ozKw/yC36rYl1Mcvc/lEyNi7PdAfi8u6SrV50JlFrSHXuaNGj1QXYhjRcmeQBWf8JzjdxRmYQdT5rTa1hn4zSL6ct0li62fsfr+E0cK0DmhsaOVhonGVw9INFtVerVgQpef26yuI49lMZnvAG0lR4ZNrqr8zwNpSvE8a2mC46aAbuOwHdZWK44SR8JhqbnKYEA3udynsFhXuc11VozucHtaTZrTpHULQ5jP4U/E13sdiGBjB8rGnNJ2Ll6w0ACHDZc9lxHLnpCh1RzCCbt9T7Kom0eqzLfLMoNWoACXCPdMtpicx3FlV4BEZbHqqxOhMxzCJj2P4XKv8by6QuW6bsJ2FOW5uN+5XlOM03vMXcGCOgXqqmbxGdYheW41inMouy3JPi8yp5eO3+O/p4us7I+Dr62UPpNc0kO8U2HRaXDaVEtBe0ueRa0+SJhuCPc8ENytJm/Jc30pyydkMNh3NfBDuYHmFs0cK5rwXMMObYEblav/AFAD2OBNoku78l6RtMANkAuEEGP3kmTY8/8Ar/tJWXwfhjg0O0HLfYr01F9pAjzVMPTBJMIoeG2hPGf14+XLaQxLBm0id01hsOWze2yzOM4Ks9zcokfRbWEwxaxrXGYGqqRNqgrESN0OgXub4mgEaXnzR3UySQERlCIlxk/RLFRQAEOvOqw+MYUUSHsbaYIA2JjVenxLBIj2WbjsG8lxLpadBOnkp5TYZcrPwzX62QcXxN9FzQWucw6ubJy3i4C08C7wAEXFvRXLQHgkAg2IOl155ys5Y6e9q4HGtfq4OG8ajyTz6bDoV5niv/F6b3l9N7qT9T8N3cyQUGlwXGMbNLEl4H9ao3HUBema52S969G1hB2RXFeYp4rHTkexjf8AyDzc9AodxHHNIacPmndpKm1WPW0h1hGFQDS5XlmYjEkT8ItG8zm9F1XitZvhp0nuO7iCA3r1Ttic16eo4AQDdL1agZruvPHiGIYA3I57zq8Aho80B7MTUgP8Adq4HxW2uEW78M45fRON8dc0hlFud51E2b1JVeFcCzu+JiXh7zcN/q3sEzS4VTpiGOIMy4u1PmgcUw7wWvpmw0vuiT+nf4bqUPhu8AAE6dP0Jkkx8R4jwxr6JOi1+QgguebjeCQrUmVHjK4EFvoVW1PSmG4wQ/JlJBdexsNNVtB7YJzEWsIWFRYWVC0nQGT1lO1abSPnIPROizsTAVnjMKjswBkHoiVOJMa5rf8AL5bctUpQqj+08tNVFUNloIkiYMaI0yH6ge4zOvULln56mxt2XJbR/hHcylMfgGvbkgkHWPunKMjXTkr4poawuyud0hPd9by9EcHwdjGgNAsOn4XV8C/MIMNA7fZaGErNLAcsGNIv7qHnOYyvvo60Dupw3nb7VWUxEui3mLI9NgMHQD3U0sK0MIzSO45dkSg1uWBpsqk7TaI94DLfRCw75GaL9VdlMxrrorGnAGsj95Jz42rse4T9VduYjUfdSx4i9/3qoNRsFPg9c19yCTNtFLeW/XVQ2nIzAx1VXZuV+a2sk0yXAza6FjhbdHpjSSARqrPptAG6JO2rGw7iHG26cxbPCHbAj28kOvSyv6H8o9fxNy7dOy8/PjlrtxuwrSpMa8vBe8nYC0axor1qz9AIBvvKTw9Y03Fh0mQbx6pzCMzODi9pEzAKuW1ORNPAkkOcL7A7q7w5hkny1T9SSQRBj95KBTDnhxaPT9CqzrIN0GnUzNBtJ5rquhLQTOx0HoEenhwHEkQlwDAEOIMyTr07Kps9TVblnga2etoVK5bBLoLvVRDngFjfDN5EO9rKcTTBtGvTZTbY078ZTyHjSURjZhpAjvdU/hOdLgQBPyg3PlCuHsAMuh3I/wDxTC0/hsaAYBtH71QnMEQ3M3dVqV4Yy7JMEacrTKE/i+WGkMJNrXPor3W/JfFUbEB0uP8AbdVoUJF9RunHAPGYgA8ojzUVGhrAAROtjOqnG3tnV8+jR2IS+CxTs8Ov9rJ1+IAOTcjslWUsujQDNzfRMrXocVxyXJ5mEYRMfRcnR0piGEPbBEec7I1SuxtnOiUMUhOY+V0y+kCIIHSQqYBuGaX5g4kRomy2WxMdlwAA8tFQOAEmAFgC9haYGnW6LRYbztplsO3dFa4Fs2jmqeK7QBH1U9lBxYbrY8ih4biGd0ABCxDv8gJ5wpwzGbQ0DdVKMaDC0nKI7I4pRItfoksK5tyHTdHFcHUzC2/0YriKLy2GECOh9oVg7nrzGiXxmKew+FjnAana6q6m5wmS0a3W3DJo4YCd0U2tCHhTEtmSN+aM5m+6xoOKoFzbAS1Lip4Ud+Ka05S67vvZJ12ZSQFz599q4iU2TMtkHmFX+KwHwGD3TGEbnbBt9dgiMaB4DBi0xytJRn1f6+F2PqC0tI6yjHEvGo21CI/AA6PIUNwrgPmk9kyck7HYGqCCA8E8nIrnFrrwYj3Sb6Tou0eQhGp4gB0OBGbc8gqlqLBcNiJkZYE2/KpjRo0A31I0VoDNrHeUPiGMyEQwu7Qm+NPUGgGug3HS32SeJw7HZgAAdb2+yLhA98veAATYbq+MpD/W6jOjuVlOw925w4xFwJHuqPwgzZ2SSXRcaLWZGW+23b7rqNEhpcCIMmN7rY2ksMxxcc3LQo9bC3DxYxHRWY6AXPIEmAFNR9ovpbkt23RVoYZLgJb0CVxlcZw0Az0FkQUgHF2bMT/VS5mbxRDuR9oRa0hdznzZ0DldSm/4Z5FcjKrodjDpyVq1JzhLXZY31VabwfEDIP8A8VnB4bYrv65hNY9pBLs1trItbD5266bI06bqWCJvF91Flnhl1RlNzWgEiw0TAbYGdv0IVZ1pbHKVVrzYTeOSW9AxrWwS4wsrBjOTrA07rbqNBHiul6NMfKBAlRbNMWwTcskjySuLaXDIx1ydN/VabARrohVqBdeQ2N4mEzxhHMIZGbTbUm/NBwz3VGOkZRaOet/oksRTqMMk5mgfNYD0805hgcwF4Nzy7yqkFuNFlGGiNkc3bYT1UsFjayhjiNoCQTqYBriCRcXUYjDGJg2vP2T7WzdS+mCIPmteOmcmLhqOZ+pEXHqnfgtb4RMm9zzSdenkeS02Fx2lOU3tLrOvEzso4/ynl/TNGiY0UMqwPFZHZUBtMlBedgQulS6tVgSOSSq1hkz5M3bXVNupBwiYncJRlPIMhdJnlfWfoimOdW8IMdgUviMblkRIOh6lRjaReJD5y6iI10SVN+aQWTlNjMSo34WhgqhykTEDf6rL/kPDyDcG4cfRM4iXlpa0jY33TbqDC1rCczhykLZvTb9CGFdkbeTrO3ZUa12l5k77LSw9RoAYWwQLT7AKjHgnMGwRaN7Fb8/wa89j8U4SwmNxab91s4Ok80wTcnorfxZcXOIuZAjQKlHEvzlrhYaEW0T563vilHh5kOkAybEIOMaR5LTNaQTty+3RLYmpFy23LmqyCbEUqvhHiGi5IspVIsyBykLlOw/n/k+zbv8AdIcU18/wpXK419Gw2yPjPmb2XLk8hx+nafyHt9lnj5x/6/crly5clcfTL/lSmE1PdcuU30zw/VQW6FQuXSeI+mcZ8h7D6hNN0Urk/aL8/wC66n8q5+gXLlp6aJT0XO3XLlU9Hx57jn2/KZ4bo3/1H0XLly/+q73/ANYep6qDqFy5W40FuoQ2fOO32XLkXwz2Kt+V3ks2nspXKL6Z4PQ+c91q0vlC5crnqb4t/by/KA3fv91y5P1vgzdR2WXxFx8V1y5PJuP0vhtlqu+UfvJcuUzyty9iFC5clL//2Q=="
5,Kolera Ayam / Fowl cholera,Penyakit yang disebabkan oleh bakteri Pasteurella multocida,"Keluar cairan dari mata dan hidung
,Kaki meradang/lumpuh
,Jengger membengkak merah
,Banyak minum
,Mencret kehijau-hijauan bercampur mukus dan bau tidak sedap
,Nafsu makan berkurang
,Bulu kusam dan berkerut
,Nafas ngorok
,Nafas sesak/megap-megap","Memberikan pengobatan dengan antimikroba seperti preparat sulfa antara lain sulfaquinoxalin, sulfamethazine, dan sulfamerazin diberikan dengan media pakan dan air minum
,Antimikroba yang lain seperti antibioka dengan memberikan streptomycin, dan terramisin","Vaksinasi secara teratur
,Sanitasi tempat minum
,Manajemen peternakan yang baik dan nyaman
,Melakukan sanitasi dan peralatan kandang",https://podomorofeedmill.com/uploads/2021/pial%20bengkak.jpg
6,Ngorok / Chroic respiratory desease (CRD),Penyakit yang disebabkan oleh Mycoplasma gallisepticum yang menyerang sistem pernafasan,"Pembengkakan pada daerah muka (sinus)
,Keluar cairan dari mata dan hidung
,Mencret keputih-putihan
,Terdapat kotoran putih menempel di sekitar anus
,Ayam suka menggeleng-gelengkan kepalanya
,Nafsu makan berkurang
,Nafas ngorok
,Batuk","Pengobatan permulaan diberikan obat seperti linkomisin, spektinomisi, streptomycin, oxytetracyclin, spiramycin, tylosin, dan golongan kuinolon seperti norflosasin dan enrofloksasin.
,Selanjutnya pemberian vitamin","Perlakuan dengan vaksin inaktif (tidak hidup) untuk pertumbuhan ayam pada umur 12-16 minggu
,Vaksinasi secara teratur",https://static.chickin.id/blog/wp-content/uploads/2023/07/Ayam-Ngorok.png
7,Tetelo / Newcastle desease,"Penyakit yang disebabkan oleh perubahan lingkungan seperti perubahan musim, sanitasi, dan makanan kurang baik penyakit yang menyerang sistem pencernaan, pernafasan, dan saraf","Ayam suka menggeleng-gelengkan kepalanya
,Sempoyongan
,Mencret kehijau-hijauan
,Tampak lesu
,Batuk
,Bersin-bersin
,Nafas ngorok
,Nafas sesak/megap-megap
,Nafsu makan berkurang","Usaha terbaik membuat kondisi ayam membaik dan merangsang nafsu makannya dengan pemberian vitamin dan mineral, serta memberikan antibiotik. Selain itu pemanasan tambahan pada kandang menjadi salah satu pengobatan pada penyakit tetelo.",Ayam yang terkena penyakit dimusnahkan atau dipisahkan dari kelompoknya,https://dkp.kulonprogokab.go.id/files/news/normal/20160224024703@nd.jpg
8,Gumboro / Infectious bursal disease,Penyakit yang menyerang sistem pertahanan tubuh ayam,"Gemetar dan sukar berdiri
,Duduk dengan sikap membungkuk
,Tidur paruhnya diletakkan dilantai
,Mencret keputih-putihan
,Tampak lesu
,Bulu kusam dan berkerut
,Nafsu makan berkurang
,Dehidrasi","Usaha terbaik memberikan pengobatan tetes 5%, gula merah 2% dicampur dengan NaHC03 0,2%
,Pemberian mineral, vitamin, dan elektrolit
,Pemberian antibiotik dan mengurangi kadar protein dalam makanan","Ukur material antibodi pada doc jika tersedia sarana test ELISA
,Sanitasi tempat minum
,Manajemen peternakan yang baik dan nyaman
,Sanitasi kandang dan peralatan peternakan
,Vaksinasi secara teratur",https://content.eol.org/data/media/5b/61/38/509.15772726.jpg
9,Batuk Ayam Menahun / Infectious bronchitis / IB,"Penyakit yang ditandai seperti batuk, ngorok, sekresi hidung, bersin, terengah-engah dan gejala pernapasan lainnya","Nampak membiru
,Tampak lesu
,Kedinginan (menggigil)
,Kelihatan mengantuk dengan bulu berdiri
,Nafsu makan berkurang
,Batuk
,Bersin-bersin
,Nafas sesak/megap-megap
,Diare","Usaha terbaik membuat kondisi ayam membaik dan merangsang nafsu makannya dengan pemberian vitamin dan mineral, serta memberikan antibiotik. Selain itu pemanasan tambahan pada kandang menjadi salah satu pengobatan pada penyakit batuk ayam menahun.","Kandang sebaiknya terkena matahari agar mengurangi kelembaban
,Menjaga kebersihan kandang dan lingkungan dengan baik",https://www.medion.co.id/wp-content/uploads/2019/12/cover-AU-1.jpg
10,Necrotic Enteritic,Penyakit yang disebabkan oleh Clostridium perfringens Tipe A dan C,"Diare
,Mencret bercampur darah
,Nafsu makan berkurang
,Banyak minum
,Depresi
,Kelihatan mengantuk dengan bulu berdiri","Pemberian obat seperti Fithera
,Pemberian multivitamin yang mengandung vitamin A dan K
,Pemberian produk yang mengandung asam amino seperti Aminovit","Vaksinasi secara teratur
,Sanitasi tempat minum
,Manajemen peternakan yang baik dan nyaman
,Sanitasi kandang dan peralatan kandang dibersihkan",https://i1.wp.com/veteriankey.com/wp-content/uploads/2017/10/c10f001-1.jpg?w=960
